Unnamed: 0,tweets,tweets_tokenize,tweet_strings,lemm_tweets,neg,neu,pos,compound,sentiment,topic
32,a flying finish from,"['flying', 'finish']",flying finish,flying finish,0.0,1.0,0.0,0.0,neutral,0
33,almost  since he won world cup ,"['almost', 'since', 'world', 'cup']",almost since world cup,almost since world cup,0.0,1.0,0.0,0.0,neutral,2
34,apparently the world cup  theme song through the speaker in the dressing room of al immediately him to stop it and out of the room this is why al have sacked him,"['apparently', 'world', 'cup', 'theme', 'song', 'speaker', 'dressing', 'room', 'al', 'immediately', 'stop', 'room', 'al', 'sacked']",apparently world cup theme song speaker dressing room immediately stop room sacked,apparently world cup theme song speaker dressing room immediately stop room sacked,0.167,0.833,0.0,-0.296,negative,6
35,back in action and al full back al his opening since injury at world cup  alhilal_en iyasser,"['back', 'action', 'al', 'full', 'back', 'al', 'opening', 'since', 'injury', 'world', 'cup', 'alhilal_en', 'iyasser']",back action full back opening since injury world cup alhilal_en iyasser,back action full back opening since injury world cup alhilal_en iyasser,0.219,0.781,0.0,-0.4215,negative,5
36,only player to score both in league and world cup final and win the both being to both more than once won world cup  ,"['player', 'score', 'league', 'world', 'cup', 'final', 'win', 'world', 'cup']",player score league world cup final win world cup,player score league world cup final win world cup,0.0,0.678,0.322,0.5859,positive,2
37,most for in cup  most in t world cup  most for in  most for in  king been in some ridiculous touch since cup ,"['cup', 'world', 'cup', 'king', 'ridiculous', 'touch', 'since', 'cup']",cup world cup king ridiculous touch since cup,cup world cup king ridiculous touch since cup,0.263,0.737,0.0,-0.3612,negative,2
38,consistent most for in cup  most in t world cup  most for in  most for in ,"['consistent', 'cup', 'world', 'cup']",consistent cup world cup,consistent cup world cup,0.0,1.0,0.0,0.0,neutral,2
39,most for in cup  most in t world cup  most for in  most for in  king been in some ridiculous touch since cup ,"['cup', 'world', 'cup', 'king', 'ridiculous', 'touch', 'since', 'cup']",cup world cup king ridiculous touch since cup,cup world cup king ridiculous touch since cup,0.263,0.737,0.0,-0.3612,negative,2
40,most for in cup  most in t world cup  most for in  most for in  good morning,"['cup', 'world', 'cup', 'good', 'morning']",cup world cup good morning,cup world cup good morning,0.0,0.58,0.42,0.4404,positive,6
41,a habit of being in the right place at the right time,"['habit', 'right', 'place', 'right', 'time']",habit right place right time,habit right place right time,0.0,1.0,0.0,0.0,neutral,5
42,arfasays_ is class against b,"['arfasays_', 'class', 'b']",arfasays_ class,arfasays_ class,0.0,1.0,0.0,0.0,neutral,6
43,most for in cup  most in t world cup  most for in  most for in  been in some ridiculous touch since ,"['cup', 'world', 'cup', 'ridiculous', 'touch', 'since']",cup world cup ridiculous touch since,cup world cup ridiculous touch since,0.333,0.667,0.0,-0.3612,negative,2
44,apmassaro maybe because of this on this,"['apmassaro', 'maybe']",apmassaro maybe,apmassaro maybe,0.0,1.0,0.0,0.0,neutral,5
45,in world cup            big    defensive       won      deputy gunner assistance leader pott champion,"['world', 'cup', 'big', 'defensive', 'deputy', 'gunner', 'assistance', 'leader', 'pott', 'champion']",world cup big defensive deputy gunner assistance leader pott champion,world cup big defensive deputy gunner assistance leader pott champion,0.0,0.615,0.385,0.6124,positive,3
46,si,['si'],,,0.0,0.0,0.0,0.0,neutral,3
47,really this was in world cup ,"['really', 'world', 'cup']",really world cup,really world cup,0.0,1.0,0.0,0.0,neutral,6
48,have never been out in the group first round of a nation tournament under s captaincy have faith t world cup  cup  final tri series in new winner t world cup  final,"['never', 'group', 'first', 'round', 'nation', 'tournament', 'captaincy', 'faith', 'world', 'cup', 'cup', 'final', 'tri', 'series', 'new', 'winner', 'world', 'cup', 'final']",never group first round nation tournament captaincy faith world cup cup final tri series new winner world cup final,never group first round nation tournament captaincy faith world cup cup final tri series new winner world cup final,0.0,0.72,0.28,0.765,positive,2
49,somebody was waiting patiently for their close up,"['somebody', 'waiting', 'patiently', 'close']",somebody waiting patiently close,somebody waiting patiently close,0.0,1.0,0.0,0.0,neutral,3
50,drop your favorite moment from world cup ,"['drop', 'favorite', 'moment', 'world', 'cup']",drop favorite moment world cup,drop favorite moment world cup,0.259,0.37,0.37,0.2263,positive,6
51,best solo performer is truly a history maker,"['best', 'solo', 'performer', 'truly', 'history', 'maker']",best solo performer truly history maker,best solo performer truly history maker,0.0,0.36,0.64,0.7964,positive,4
52,ai a different idea on who won the world cup ,"['ai', 'different', 'idea', 'world', 'cup']",different idea world cup,different idea world cup,0.0,1.0,0.0,0.0,neutral,2
53,what s the biggest i m not him moment in football,"['biggest', 'moment', 'football']",biggest moment football,biggest moment football,0.0,1.0,0.0,0.0,neutral,6
54,south world cup   goals assists created successful dribbles tackles ground won key passes crosses long balls lost big chance missed error leading to goal,"['south', 'world', 'cup', 'goals', 'assists', 'created', 'successful', 'dribbles', 'tackles', 'ground', 'key', 'passes', 'crosses', 'long', 'balls', 'lost', 'big', 'chance', 'missed', 'error', 'leading', 'goal']",south world cup goals assists created successful dribbles tackles ground key passes crosses long balls lost big chance missed error leading goal,south world cup goal assist created successful dribble tackle ground key pass cross long ball lost big chance missed error leading goal,0.232,0.516,0.252,0.1531,positive,0
55,automatically took stage in world cup ,"['automatically', 'took', 'stage', 'world', 'cup']",automatically took stage world cup,automatically took stage world cup,0.0,1.0,0.0,0.0,neutral,1
56,remember when after the fra world cup ,"['remember', 'fra', 'world', 'cup']",remember fra world cup,remember fra world cup,0.0,1.0,0.0,0.0,neutral,6
57,was inarguably the best player of the world cup  final,"['inarguably', 'best', 'player', 'world', 'cup', 'final']",inarguably best player world cup final,inarguably best player world cup final,0.0,0.543,0.457,0.6369,positive,2
58,it s year  and is still to prove himself whereas it s th anniversary of winning the world cup ,"['year', 'still', 'prove', 'whereas', 'th', 'anniversary', 'winning', 'world', 'cup']",year still prove whereas anniversary winning world cup,year still prove whereas anniversary winning world cup,0.0,0.673,0.327,0.5267,positive,2
59,world cup  champion derivative,"['world', 'cup', 'champion', 'derivative']",world cup champion derivative,world cup champion derivative,0.0,0.435,0.565,0.5994,positive,6
60,consistent most for in cup  most in t world cup  most for in  most for in ,"['consistent', 'cup', 'world', 'cup']",consistent cup world cup,consistent cup world cup,0.0,1.0,0.0,0.0,neutral,2
61,too small,['small'],small,small,0.0,1.0,0.0,0.0,neutral,6
62,stream el de,"['stream', 'el', 'de']",stream,stream,0.0,1.0,0.0,0.0,neutral,3
63,throwback when s wife was upset at the world cup  that he celebrated the win with his mum,"['throwback', 'wife', 'upset', 'world', 'cup', 'celebrated', 'win', 'mum']",throwback wife upset world cup celebrated win mum,throwback wife upset world cup celebrated win mum,0.172,0.331,0.497,0.7096,positive,1
64,guess the autograph can you guess the footballer who this shirt hint he ancestry and won the world cup,"['guess', 'autograph', 'guess', 'footballer', 'shirt', 'hint', 'ancestry', 'world', 'cup']",guess autograph guess footballer shirt hint ancestry world cup,guess autograph guess footballer shirt hint ancestry world cup,0.0,1.0,0.0,0.0,neutral,2
65,are you nadir,['nadir'],nadir,nadir,0.0,1.0,0.0,0.0,neutral,5
66,holy grail of world cup worldcup memorabilia ticket,"['holy', 'grail', 'world', 'cup', 'worldcup', 'memorabilia', 'ticket']",holy grail world cup worldcup memorabilia ticket,holy grail world cup worldcup memorabilia ticket,0.0,1.0,0.0,0.0,neutral,6
67,they define and talent football era worldcup,"['define', 'talent', 'football', 'era', 'worldcup']",define talent football era worldcup,define talent football era worldcup,0.0,0.588,0.412,0.4215,positive,0
68,this is for you like when you compare with and i wish you will continue it because is and will be breaking of worldcup,"['like', 'compare', 'wish', 'continue', 'breaking', 'worldcup']",like compare wish continue breaking worldcup,like compare wish continue breaking worldcup,0.0,0.435,0.565,0.6369,positive,4
69,back to back blockbuster worldcupwhat a cant better,"['back', 'back', 'blockbuster', 'worldcupwhat', 'cant', 'better']",back back blockbuster worldcupwhat cant better,back back blockbuster worldcupwhat cant better,0.233,0.388,0.378,0.3599,positive,1
70,happy birthday the mother of la we all u god bless you,"['happy', 'birthday', 'mother', 'la', 'u', 'god', 'bless']",happy birthday mother god bless,happy birthday mother god bless,0.0,0.189,0.811,0.8225,positive,3
71,still affected by the world cup morocco football worldcup,"['still', 'affected', 'world', 'cup', 'morocco', 'football', 'worldcup']",still affected world cup morocco football worldcup,still affected world cup morocco football worldcup,0.211,0.789,0.0,-0.1531,negative,6
72,we will never forget how cantor stunning passion and love for our beloved team of morocco i get goose every time i watch this video,"['never', 'forget', 'cantor', 'stunning', 'passion', 'love', 'beloved', 'team', 'morocco', 'get', 'goose', 'every', 'time', 'watch', 'video']",never forget cantor stunning passion love beloved team morocco get goose every time watch video,never forget cantor stunning passion love beloved team morocco get goose every time watch video,0.09,0.411,0.5,0.8745,positive,6
73,nicocantor pour ce moment un grand souvenir,"['nicocantor', 'pour', 'ce', 'moment', 'un', 'grand', 'souvenir']",nicocantor pour moment grand souvenir,nicocantor pour moment grand souvenir,0.0,0.571,0.429,0.4588,positive,4
74,in walsh s tenure,"['walsh', 'tenure']",walsh tenure,walsh tenure,0.0,1.0,0.0,0.0,neutral,5
75,a historic performance some historic appreciation worldcup via,"['historic', 'performance', 'historic', 'appreciation', 'worldcup', 'via']",historic performance historic appreciation worldcup via,historic performance historic appreciation worldcup via,0.0,0.602,0.398,0.5106,positive,3
76,catch your cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating there any hacking on your,"['catch', 'cheating', 'spouse', 'cheat', 'betrayal', 'unfaithful', 'worldcup', 'daysofcode', 'investigating', 'cheating', 'hacking']",catch cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating hacking,catch cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating hacking,0.667,0.333,0.0,-0.9325,negative,2
77,favorite moment in world cup  worldcup,"['favorite', 'moment', 'world', 'cup', 'worldcup']",favorite moment world cup worldcup,favorite moment world cup worldcup,0.0,0.571,0.429,0.4588,positive,6
78,stream to b for worldcup qatar,"['stream', 'b', 'worldcup', 'qatar']",stream worldcup qatar,stream worldcup qatar,0.0,1.0,0.0,0.0,neutral,6
79,today s running ud kit   lamb of god in the,"['today', 'running', 'ud', 'kit', 'lamb', 'god']",today running kit lamb god,today running kit lamb god,0.0,0.656,0.344,0.2732,positive,2
80,will be at the education city stadium for the first time ever,"['education', 'city', 'stadium', 'first', 'time', 'ever']",education city stadium first time ever,education city stadium first time ever,0.0,1.0,0.0,0.0,neutral,1
81,for the first time ever,"['first', 'time', 'ever']",first time ever,first time ever,0.0,1.0,0.0,0.0,neutral,1
82,afghani bowler took s wicket,"['afghani', 'bowler', 'took', 'wicket']",afghani bowler took wicket,afghani bowler took wicket,0.0,1.0,0.0,0.0,neutral,2
83,defensive transition report world cup       al collected by football worldcup,"['defensive', 'transition', 'report', 'world', 'cup', 'al', 'collected', 'football', 'worldcup']",defensive transition report world cup collected football worldcup,defensive transition report world cup collected football worldcup,0.0,0.864,0.136,0.0258,positive,6
84,cause alpine sports football project i expect pe project good movement football to be possible meta even if the worldcup is over daily just breaking out ud,"['cause', 'alpine', 'sports', 'football', 'project', 'expect', 'pe', 'project', 'good', 'movement', 'football', 'possible', 'meta', 'even', 'worldcup', 'daily', 'breaking', 'ud']",cause alpine sports football project expect project good movement football possible meta even worldcup daily breaking,cause alpine sport football project expect project good movement football possible meta even worldcup daily breaking,0.0,0.838,0.162,0.4404,positive,6
85,the to  worldcup,['worldcup'],worldcup,worldcup,0.0,1.0,0.0,0.0,neutral,6
86,gearing up fan token,"['gearing', 'fan', 'token']",gearing fan token,gearing fan token,0.0,0.465,0.535,0.3182,positive,2
87,to make a compilation of s in the world cup  apparently you can t make a compilation with  goal ruined my mood,"['make', 'compilation', 'world', 'cup', 'apparently', 'make', 'compilation', 'goal', 'ruined', 'mood']",make compilation world cup apparently make compilation goal ruined mood,make compilation world cup apparently make compilation goal ruined mood,0.256,0.744,0.0,-0.4767,negative,1
88,world cup  were unmatched,"['world', 'cup', 'unmatched']",world cup unmatched,world cup unmatched,0.394,0.606,0.0,-0.0772,negative,2
89,the media again for his impact with there are a tremendous amount of waiting for their k pop to bless the of,"['media', 'impact', 'tremendous', 'amount', 'waiting', 'k', 'pop', 'bless']",media impact tremendous amount waiting pop bless,medium impact tremendous amount waiting pop bless,0.0,0.682,0.318,0.4215,positive,5
90,nostalgic for world cup  kick off your visit to today with and,"['nostalgic', 'world', 'cup', 'kick', 'visit', 'today']",nostalgic world cup kick visit today,nostalgic world cup kick visit today,0.0,1.0,0.0,0.0,neutral,2
91,lionel in world cup  of the best world cup ever,"['lionel', 'world', 'cup', 'best', 'world', 'cup', 'ever']",lionel world cup best world cup ever,lionel world cup best world cup ever,0.0,0.588,0.412,0.6369,positive,2
92,most for in cup  most in t world cup  most for in  most for in  king been in some ridiculous touch since cup ,"['cup', 'world', 'cup', 'king', 'ridiculous', 'touch', 'since', 'cup']",cup world cup king ridiculous touch since cup,cup world cup king ridiculous touch since cup,0.263,0.737,0.0,-0.3612,negative,2
93,project file by morocco world cup  soccer football edit,"['project', 'file', 'morocco', 'world', 'cup', 'soccer', 'football', 'edit']",project file morocco world cup soccer football edit,project file morocco world cup soccer football edit,0.0,1.0,0.0,0.0,neutral,6
94,if the are to,[],,,0.0,0.0,0.0,0.0,neutral,0
95,media the wave finally in there are a tremendous amount of waiting for their k pop to bless the of,"['media', 'wave', 'finally', 'tremendous', 'amount', 'waiting', 'k', 'pop', 'bless']",media wave finally tremendous amount waiting pop bless,medium wave finally tremendous amount waiting pop bless,0.0,0.714,0.286,0.4215,positive,5
96,a flying finish from,"['flying', 'finish']",flying finish,flying finish,0.0,1.0,0.0,0.0,neutral,0
97,almost  since he won world cup ,"['almost', 'since', 'world', 'cup']",almost since world cup,almost since world cup,0.0,1.0,0.0,0.0,neutral,2
98,apparently the world cup  theme song through the speaker in the dressing room of al immediately him to stop it and out of the room this is why al have sacked him,"['apparently', 'world', 'cup', 'theme', 'song', 'speaker', 'dressing', 'room', 'al', 'immediately', 'stop', 'room', 'al', 'sacked']",apparently world cup theme song speaker dressing room immediately stop room sacked,apparently world cup theme song speaker dressing room immediately stop room sacked,0.167,0.833,0.0,-0.296,negative,6
99,back in action and al full back al his opening since injury at world cup  alhilal_en iyasser,"['back', 'action', 'al', 'full', 'back', 'al', 'opening', 'since', 'injury', 'world', 'cup', 'alhilal_en', 'iyasser']",back action full back opening since injury world cup alhilal_en iyasser,back action full back opening since injury world cup alhilal_en iyasser,0.219,0.781,0.0,-0.4215,negative,5
100,only player to score both in league and world cup final and win the both being to both more than once won world cup  ,"['player', 'score', 'league', 'world', 'cup', 'final', 'win', 'world', 'cup']",player score league world cup final win world cup,player score league world cup final win world cup,0.0,0.678,0.322,0.5859,positive,2
101,most for in cup  most in t world cup  most for in  most for in  king been in some ridiculous touch since cup ,"['cup', 'world', 'cup', 'king', 'ridiculous', 'touch', 'since', 'cup']",cup world cup king ridiculous touch since cup,cup world cup king ridiculous touch since cup,0.263,0.737,0.0,-0.3612,negative,2
102,consistent most for in cup  most in t world cup  most for in  most for in ,"['consistent', 'cup', 'world', 'cup']",consistent cup world cup,consistent cup world cup,0.0,1.0,0.0,0.0,neutral,2
103,most for in cup  most in t world cup  most for in  most for in  king been in some ridiculous touch since cup ,"['cup', 'world', 'cup', 'king', 'ridiculous', 'touch', 'since', 'cup']",cup world cup king ridiculous touch since cup,cup world cup king ridiculous touch since cup,0.263,0.737,0.0,-0.3612,negative,2
104,most for in cup  most in t world cup  most for in  most for in  good morning,"['cup', 'world', 'cup', 'good', 'morning']",cup world cup good morning,cup world cup good morning,0.0,0.58,0.42,0.4404,positive,6
105,a habit of being in the right place at the right time,"['habit', 'right', 'place', 'right', 'time']",habit right place right time,habit right place right time,0.0,1.0,0.0,0.0,neutral,5
106,guess the autograph can you guess the footballer who this shirt hint he ancestry and won the world cup,"['guess', 'autograph', 'guess', 'footballer', 'shirt', 'hint', 'ancestry', 'world', 'cup']",guess autograph guess footballer shirt hint ancestry world cup,guess autograph guess footballer shirt hint ancestry world cup,0.0,1.0,0.0,0.0,neutral,2
107,are you nadir,['nadir'],nadir,nadir,0.0,1.0,0.0,0.0,neutral,5
108,holy grail of world cup worldcup memorabilia ticket,"['holy', 'grail', 'world', 'cup', 'worldcup', 'memorabilia', 'ticket']",holy grail world cup worldcup memorabilia ticket,holy grail world cup worldcup memorabilia ticket,0.0,1.0,0.0,0.0,neutral,6
109,they define and talent football era worldcup,"['define', 'talent', 'football', 'era', 'worldcup']",define talent football era worldcup,define talent football era worldcup,0.0,0.588,0.412,0.4215,positive,0
110,this is for you like when you compare with and i wish you will continue it because is and will be breaking of worldcup,"['like', 'compare', 'wish', 'continue', 'breaking', 'worldcup']",like compare wish continue breaking worldcup,like compare wish continue breaking worldcup,0.0,0.435,0.565,0.6369,positive,4
111,back to back blockbuster worldcupwhat a cant better,"['back', 'back', 'blockbuster', 'worldcupwhat', 'cant', 'better']",back back blockbuster worldcupwhat cant better,back back blockbuster worldcupwhat cant better,0.233,0.388,0.378,0.3599,positive,1
112,happy birthday the mother of la we all u god bless you,"['happy', 'birthday', 'mother', 'la', 'u', 'god', 'bless']",happy birthday mother god bless,happy birthday mother god bless,0.0,0.189,0.811,0.8225,positive,3
113,still affected by the world cup morocco football worldcup,"['still', 'affected', 'world', 'cup', 'morocco', 'football', 'worldcup']",still affected world cup morocco football worldcup,still affected world cup morocco football worldcup,0.211,0.789,0.0,-0.1531,negative,6
114,we will never forget how cantor stunning passion and love for our beloved team of morocco i get goose every time i watch this video,"['never', 'forget', 'cantor', 'stunning', 'passion', 'love', 'beloved', 'team', 'morocco', 'get', 'goose', 'every', 'time', 'watch', 'video']",never forget cantor stunning passion love beloved team morocco get goose every time watch video,never forget cantor stunning passion love beloved team morocco get goose every time watch video,0.09,0.411,0.5,0.8745,positive,6
115,nicocantor pour ce moment un grand souvenir,"['nicocantor', 'pour', 'ce', 'moment', 'un', 'grand', 'souvenir']",nicocantor pour moment grand souvenir,nicocantor pour moment grand souvenir,0.0,0.571,0.429,0.4588,positive,4
116,in walsh s tenure,"['walsh', 'tenure']",walsh tenure,walsh tenure,0.0,1.0,0.0,0.0,neutral,5
117,a historic performance some historic appreciation worldcup via,"['historic', 'performance', 'historic', 'appreciation', 'worldcup', 'via']",historic performance historic appreciation worldcup via,historic performance historic appreciation worldcup via,0.0,0.602,0.398,0.5106,positive,3
118,catch your cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating there any hacking on your,"['catch', 'cheating', 'spouse', 'cheat', 'betrayal', 'unfaithful', 'worldcup', 'daysofcode', 'investigating', 'cheating', 'hacking']",catch cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating hacking,catch cheating spouse cheat betrayal unfaithful worldcup daysofcode investigating cheating hacking,0.667,0.333,0.0,-0.9325,negative,2
119,favorite moment in world cup  worldcup,"['favorite', 'moment', 'world', 'cup', 'worldcup']",favorite moment world cup worldcup,favorite moment world cup worldcup,0.0,0.571,0.429,0.4588,positive,6
120,stream to b for worldcup qatar,"['stream', 'b', 'worldcup', 'qatar']",stream worldcup qatar,stream worldcup qatar,0.0,1.0,0.0,0.0,neutral,6
121,today s running ud kit   lamb of god in the,"['today', 'running', 'ud', 'kit', 'lamb', 'god']",today running kit lamb god,today running kit lamb god,0.0,0.656,0.344,0.2732,positive,2
122,will be at the education city stadium for the first time ever,"['education', 'city', 'stadium', 'first', 'time', 'ever']",education city stadium first time ever,education city stadium first time ever,0.0,1.0,0.0,0.0,neutral,1
123,for the first time ever,"['first', 'time', 'ever']",first time ever,first time ever,0.0,1.0,0.0,0.0,neutral,1
124,afghani bowler took s wicket,"['afghani', 'bowler', 'took', 'wicket']",afghani bowler took wicket,afghani bowler took wicket,0.0,1.0,0.0,0.0,neutral,2
125,defensive transition report world cup       al collected by football worldcup,"['defensive', 'transition', 'report', 'world', 'cup', 'al', 'collected', 'football', 'worldcup']",defensive transition report world cup collected football worldcup,defensive transition report world cup collected football worldcup,0.0,0.864,0.136,0.0258,positive,6
126,cause alpine sports football project i expect pe project good movement football to be possible meta even if the worldcup is over daily just breaking out ud,"['cause', 'alpine', 'sports', 'football', 'project', 'expect', 'pe', 'project', 'good', 'movement', 'football', 'possible', 'meta', 'even', 'worldcup', 'daily', 'breaking', 'ud']",cause alpine sports football project expect project good movement football possible meta even worldcup daily breaking,cause alpine sport football project expect project good movement football possible meta even worldcup daily breaking,0.0,0.838,0.162,0.4404,positive,6
127,the to  worldcup,['worldcup'],worldcup,worldcup,0.0,1.0,0.0,0.0,neutral,6
128,gearing up fan token,"['gearing', 'fan', 'token']",gearing fan token,gearing fan token,0.0,0.465,0.535,0.3182,positive,2
